originalEntry	fuzzyMatchedEntry	fuzzyMatchScore
rodhams hollow	rodman's hollow	83
block rock beach	black rock beach	94
playground	playground	100
clay head trail at the beach entrance	clay head trail	90
fresh water preserve	fresh pond	86
in the bushes at a rodman's hollow overlook	rodman's hollow	90
center st. cemetery against a tombstone	dodge cemetery	86
overlook trail	elizabeth dickens trail	86
the post office	post office	95
back seat of truck	block island chamber of commerce	86
grace cove	grace's cove	95
fresh pont	fresh pond	90
center st. cemetery foot of tombstone	dodge cemetery	86
turnip farms	turnip farm	96
nathan mott park trail under a rock	nathan mott park	90
behind north light sign, in a plant	north light	90
greenway beach road	greenway	90
clayhead maze	the maze	86
nathan mott park & turnip farm	nathan mott park	90
arts & craft guild	rat island	63
greenway near street	greenway	90
oceanview pavillion	ocean view pavilion	95
hodge entrance	hodge family wildlife preserve	86
beach avenue traik	beach avenue	90
blue stone at clay head trail	clay head trail	90
american legion post 36	legion park	86
beach at clay head trail	clay head trail	90
clay head trail (under footbridge)	clay head trail	90
clay head hill trail	clay head trail	95
fresh swamp and payne farm trail	fresh swamp	90
gazebo at ocean view	ocean view pavilion	66
next to rock on greenway	greenway	90
fresh swamp & payne farm trail	fresh swamp	90
driftwood log at the entrance to ocean view	cannon at legion park	86
ocean view pavilion inside ornamental grass bush	ocean view pavilion	90
hodge preserve near fence post	hodge preserve	90
the legion hall cannon	legion park	86
the cannon where the farmer's market is	farmer's market	90
spring street, 'art garden' near bench under tree	spring street	90
old mill road greenway trail	greenway	90
clayhead traik	clayhead trail	93
on beach, southeast of little sachem pond under a mesh screen	sachem pond	90
clayhead trails off the main path	clayhead trail	90
rodmans hollow stone wall	rodman hollow	86
greenway trails	greenway trail	97
marsh hawk hollow in center of tree stump	marsh hawk hollow	90
mohegan bluff overlook	mohegan bluffs	86
marsh hawk hollow up in a tree	marsh hawk hollow	90
in tree on greenway trails	greenway	90
end of dump road	block island chamber of commerce	86
greenway trail old town rd	greenway	90
beach ave greenway trail on ground under grass	beach ave	90
greenway trail #3 in a stump	greenway	90
enchanted forrest in a hollow tree	enchanted forest	86
high meadow greenway	greenway	90
"northern lights" poem box at a cow cove	cow cove	90
bench at the tranfer station	the maze	86
under tree deep in the grass fresh pond trail	fresh pond	90
behind historical society	block island historical society	82
salt water pond	fresh pond	86
beach ave greenway	beach ave	90
greenway off beacon hill rd.	beacon hill	90
inside giant drift tree on coast guard jeti	coast guard beach	86
in a potted christmas catus in airport lobby	airport	90
greenway trails by payne rd	greenway	90
hodge preserve trail	hodge preserve	95
lewis dickens	lewis-dickens farm	95
beach ave trails	beach ave	90
"the greenway" greenway trail	greenway	90
hollow log, walking south from west beach rd	west beach	90
windodge greenway	greenway	90
town cemetery	fred benson town beach	86
path off old mill rd	old mill road	86
emily dickens	elizabeth dickens trail	86
lake side dr across from fresh pond	fresh pond	90
in a tree of on the greenway off of conneymus road	greenway	90
rodman hollow side trail	rodman hollow	90
greenway trail (lakeside drive)	greenway	90
lewis dickson reserve	lewis point	86
gaffney greenway, on a stump	greenway	90
greenway off old mill rd in crook of tree	greenway	90
nathan mott park/enchanted forest	enchanted forest	90
harrison's loop	harrison loop	95
lewis dickens preserve	dickens point	86
old mill side trail going into rodman's hollow under grass	rodman's hollow	90
in the flower boxes outside of the post office	post office	90
hollowed out tree stump meadow hill	meadow hill	90
coneymus ed in the wall	the maze	86
greenway on old mill road under brush	greenway	90
in a tree @ old mill greenway	greenway	90
enchanted forest entrance on old mill road in a tree	enchanted forest	90
southeast lighthouse overlook	southeast light	90
elizabeth dickens trailhead at dicken's road	elizabeth dickens trail	90
behind rock sign for north lighthouse beach	north light	90
near north light trail parking	north light	90
legion park canon	legion park	90
southeast light window	southeast light	95
greenaway trail	greenway trail	97
nature's nobleman greenway	greenway	90
near airport	airport	90
off old mill road	old mill road	95
rodman's hollow in some rocks	rodman's hollow	90
in the canon legion park	legion park	90
near harrison loop	harrison loop	95
mott trail near bench	mott trail	90
greenaway in grasses	greenaway	90
greenway trail off beach ave	beach ave	90
beach ave.	beach ave	100
rodman's hollow behind stone marker	rodman's hollow	90
greenway path off beacon hill rd	beacon hill	90
in rock wall on cooneymus greenaway trail	greenaway	90
enchanted forest cart way	enchanted forest	90
turnip farm greenway entrance in rocks	greenway	90
off old mill rd greenway	greenway	90
rodman's hollow-loop by black rock	rodman's hollow	90
loefflers loop	loffredo loop	74
2nd bluffs path in tree	mohegan bluffs	86
greenway close to cooneymus road	greenway	90
old town road	old town road	100
enchanted forest in hollowed out tree	enchanted forest	90
greenway trail near fresh pond	fresh pond	90
snake hole rd.	snake hole road	93
motts trail	mott trail	95
meadow hill trail in a tree covered in vines	meadow hill	90
motts park	ball o' brien park	86
fresh swamp trail in stone wall!	fresh swamp	90
hodge preserve behind the stone trail marker	hodge preserve	90
cooneymus beach in a lobster trap	cooneymus beach	90
beacon hill rd greenway	beacon hill	90
cooneymus beach hidden in log wall	cooneymus beach	90
trail off payne rd	hyland trail	86
cemetery- up in a tree!	dodge cemetery	86
dunn's bridge path	dunn's bridge	95
beach avenue trails	beach avenue	90
negus park in a tree	esta's park	86
trims pond trail	fresh pond	86
north lighthouse	north light	81
cemetery stone wall	dodge cemetery	69
west beach by north light	north light	90
the indian cemetery momument	dodge cemetery	86
beach in front of north light in a pile of rocks	north light	90
southeast lighthouse tower window sill	southeast light	90
on the beach just in front of the north lighthouse.	north light	90
east bank of sachem pond	sachem pond	90
overlook to fresh pond on lakeside drive	fresh pond	90
attwood overlook, next to a tree.	attwood overlook	90
ocean view pavilion (rafters)	ocean view pavilion	95
grace point	beane point	73
black rock in a lobster pot	black rock beach	86
the trail leading to andy's way	andy's way	90
rodman's hollow,	rodman's hollow	100
greenway of cooneymus road	greenway	90
greenway off cooneymus road	greenway	90
coast guard station trail to breakwater new harbor	coast guard station	90
marsh hawk hallow	marsh hawk hollow	94
greenway trails-wooden box near beacon hill	beacon hill	90
greenway trails beacon hill rd in thicket of bush	beacon hill	90
under bush at entrance to middle pond @ hodge preserve	hodge preserve	90
fresh swamp walking trail	fresh swamp	90
in hole of mantassean monumnet	snake hole road	86
cemetery by fresh pond	fresh pond	90
scotch beach entrance	scotch beach	90
mansion beach tied up in a sack in a tree	mansion beach	90
mott farm trail	elizabeth dickens trail	86
west beach under rim	west beach	90
mott park (close to airport)	airport	90
tree at fresh pond	fresh pond	90
greenaway trails	greenway trail	93
in a hollow log on cooneymus	cooneymus beach	86
scotch beach trail	scotch beach	90
scotch beach access path	scotch beach	90
under bridge at fresh pond	fresh pond	90
fresh pond under tree roots	fresh pond	90
west beach-breed property	west beach	90
fresh pond trail under the shrubs near the pond	fresh pond	90
floating in fresh pond	fresh pond	90
crescent beach trail from corn neck rd	crescent beach	90
trail off payne rd.	hyland trail	86
first path on right going towards mohegan bluffs	mohegan bluffs	90
the block island ferry boat	island cemetery	86
wlkers welcome path off mohegan trail	mohegan trail	90
greenway trail meadow hill	greenway	90
west beach, south of west beach road, under large driftwood	west beach	90
massion beach	mansion beach	92
north of mansion beach	mansion beach	90
trail by north light	north light	90
on a greenway in a tree	greenway	90
old town road greenway	greenway	90
field off west side rd	west beach	86
sign at paynes overlook	payne overlook	86
under rock at rodman's hollow parking area	rodman's hollow	90
rock wall at the martin property	martin property	90
turnip farm greenway entrance, to the left of the gate behind a rock	turnip farm	90
green way off old mill rd	andy's way	86
turnip farm in a bush	turnip farm	90
enchanted forest, old mill side, in a tree	enchanted forest	90
rock wall on clay head trail	clay head trail	90
the maze, in a tree. not sure exactly where, as it was night.	the maze	90
in a tree, turnip farm	turnip farm	90
enchanted forest in the base of a tree clump	enchanted forest	90
on the path of clay head trail	clay head trail	90
trail to maze	elizabeth dickens trail	86
harrison trail; hidden in a tree	harrison trail	90
payne greenway	payne road greenway	95
across from airport	airport	90
turnip farm area stone wall	turnip farm	90
next to the enchanted forest resting inside a tree	enchanted forest	90
stonewall near middle earth on greenway trail	greenway	90
greenway path off of cooneynus	greenway	90
rodmans hollow turnip farm in a broken tree stump.	turnip farm	90
snake hole rd	snake hole road	93
old millard trail	jones trail	86
trail south of peter woods, old mill road	old mill road	90
greenway trail off cooneymus	greenway	90
behind peter woods off old mill road	old mill road	90
cooneymus beach, in a driftwood log hollow, covered with sand	cooneymus beach	90
cooneymus beach in plastic container	cooneymus beach	90
cooneymus beach/ dory's cove in driftwood log	cooneymus beach	90
mohegan bluffs, in lobster trap	mohegan bluffs	90
beacon hill greenway area	beacon hill	90
stairs on moghan bluffs	mohegan bluffs	86
west beach near north lighthouse.	north light	90
half-buried in sand near the north lighthouse	north light	90
south of grace's cove entrance	grace's cove	90
rock wall foundation of the win dodge preserve	win dodge	90
ocean view- eaves of gazebo	ocean view pavilion	66
greenway harrison loop	greenway	90
gracy's cove	grace's cove	92
bluffs	mohegan bluffs	90
harrison trail in tree	harrison trail	90
the labyrinth	the maze	86
grace's cove pond	grace's cove	95
enchanted forest, hilltop rock wall	enchanted forest	90
enchanted forest, on ground among downed,cleared branches	enchanted forest	90
in tidal debris north of the old cut on the great salt pond	great salt pond	90
clay head trail entrance to beach.	clay head trail	90
winfield dodge stonewall	dodge cemetery	86
beacon hill greenway- in an tree stump	beacon hill	90
ocean view on a memorial stone with compass setting.	ocean view pavilion	86
rodmans hallow	rodman's hollow	90
mohegan bluffs beach	mohegan bluffs	95
mansion beach in the foundation of the mansion	mansion beach	90
northwest beach, south of north light	north light	90
on sand of west beach	west beach	90
sign at mohegan bluffs	mohegan bluffs	90
corn neck rd	corn neck road	92
steps going down to moghean bluffs	mohegan bluffs	86
clay head trail, base of tree	clay head trail	90
clay head trail, in a dead tree	clay head trail	90
old harbor	old harbor point	90
north light house beach	north light	90
island free library in a flower pot	library	90
great salt pond south of bi club	great salt pond	90
clayhead, begining of the path in a fallen log	clayhead trail	86
between surf beach and town beach	surf beach	90
southeast lighthouse, outside on the windowsill by the ramp	southeast light	90
charlestown beach inside driftwood log	charlestown beach	90
marsh by andy's way	andy's way	90
airport/mott trail	airport	90
vaills beach	vaill beach	96
mohegan bluffs -- in a tree; found on may 23, 2014	mohegan bluffs	90
rock wall at mansion beach	mansion beach	90
on a boulder on a greenway trail near black rock beach	black rock beach	90
bluff above black rock beach	black rock beach	90
mosquito beach, washed ashore	mosquito beach	90
enchanted forest behind a rock	enchanted forest	90
dorry's cove-in a bleach bottle	dorry's cove	90
greenway trail in tree near cooneymus rd	greenway	90
off enchanted forest path, taking a left at the top of the hill, under a tree.	enchanted forest	90
dorrey's cove	dorry's cove	96
inside lobster trap on dorry's cove beach	dorry's cove	90
moheagan bluffs	mohegan bluffs	97
on the bluffs at clayhead trail	clayhead trail	90
mohegian bluff overlook	payne overlook	86
dorries	dorry's cove	64
west beach/ dump road	west beach	90
west beach, near north light	north light	90
graces cove pond	cow cove	86
west beach, close to north light	north light	90
coast guard channel beach	coast guard beach	95
south of the north light west beach side	north light	90
gracies	gracies cove	90
in a tree in the enchanted forest	enchanted forest	90
greenway trail airport	airport	90
near turnip farm on greenway	greenway	90
way up in a tree	andy's way	86
turnip farm entrance	turnip farm	90
the unenchanted forest	the maze	86
pots&kettles area	lewis point	63
mansion beach under rock pile	mansion beach	90
entrance to mansion beach	mansion beach	90
next to fence in clayhead	clayhead trail	86
southwest point beach/ cooneymus rd	southwest point	90
