originalEntry	fuzzyMatchedEntry	fuzzyMatchScore
lewis dickens farm trail	dickens farm trail	95
fresh swap	fresh swamp	95
beacon hill rd	beacon hill	95
martin lot	martin property	86
hollow	marsh hawk hollow	90
northlight	north light	95
under a piece of driftwood at the poiny	cannon at legion park	86
mohigan bluff	mohegan bluffs	89
martin's lot	dorry's cove beach	86
indian cemetery	'indian' cemetery	97
trail across from smiling through	smiling through	90
grace's cove beach	grace's cove	90
harrison loop trail	harrison loop	95
greenway trail by horse farm	greenway	90
magellan's tree	andy's way	86
black rock trails	black rock beach	73
martins lot	martin's point	80
fresh pond reserve	fresh pond	90
graces cove	grace's cove	96
rothman's hollow	rodman's hollow	90
rodman's hallow	rodman's hollow	93
fresh pond greenway	fresh pond	90
black rock bluff	black rock beach	75
rodman hallows	rodman hollow	89
indian cemetary	'indian' cemetery	90
fred benson beach	fred benson town beach	95
ocean ave.	ocean view pavilion	86
solvieken	solviken	94
grace's beach	block island state beach	86
dingy beach	dinghy beach	96
sacred labrynth	sacred labyrinth	90
in a tree	spring street	64
nathan mott trail above the trail marker map	mott trail	90
entrance to payne farm trail	payne farm trail	90
black rock	black rock beach	90
dory cove beach	dorry's cove beach	91
near the statue of hebe (cupbearer to the gods at mount olympus)	block island chamber of commerce	86
comings greenway	greenway	90
win dodge preserve (in rock wall near foundation)	win dodge	90
win dodge in the wall	win dodge	90
dorries cove	cow cove	86
school	block island public school	90
win dodge presv.	win dodge	90
path to west beach (breed's lot)	west beach	90
trail off pilot hill road	pilot hill road	90
swamp/ we love you	fresh swamp	86
wedged in dune fencing at edge of second mohegan bluffs	mohegan bluffs	90
beach at the end of clayhead trail	clayhead trail	90
brick chimney on west beach	west beach	90
west beach, northern section	west beach	90
in stone wall on greenway off beacon hill rd.	beacon hill	90
marsh trail off beacon hill road	beacon hill	90
enchanted forest/old mill behind a tree	enchanted forest	90
near dinghy beach	dinghy beach	95
nathan mottt trail	nathan mott trail	97
crescent beach access- north of benson	crescent beach	90
ballard's beach jetty	ballard's beach	95
mohegan bluffs overlook behind bike rack	mohegan bluffs	90
hyland trail deadend	hyland trail	90
state beach	block island state beach	90
old mill road path	old mill road	95
meadow hill greenway trail	greenway	90
cow cove	cow cove	100
turnip farm parking lot puddle	turnip farm	90
painted rock	painted rock	100
dickens preserve	hodge family wildlife preserve	86
block island historical society	block island historical society	100
dingy beach in great salt pond	great salt pond	90
rodman's hollow by loop trail	rodman's hollow	90
green way trail	greenway trail	97
long lot connector to clayhead trail	clayhead trail	90
kings lot	long lot trail	86
path of old hotel	block island chamber of commerce	86
rodman's hollow, in a tree	rodman's hollow	90
mohegan bluffs stairs	mohegan bluffs	90
fresh swamp trail	fresh swamp	90
greenway trail off of lakeshore drive	greenway	90
2nd bluffs near railing	mohegan bluffs	86
circle of rocks on mansion beach	mansion beach	90
west beach in a chimney	west beach	90
dodge farm	winfield dodge farm	90
mohegan stairs	mohegan trail	81
second bluffs trail	hyland trail	86
trail across from fresh pond	fresh pond	90
the greenway off of beacon hill road	beacon hill	90
fresh pond preserve	fresh pond	90
cooneymus beach next to waterfall	cooneymus beach	90
old mill rd greenway	greenway	90
hodge preserve pond	hodge preserve	95
dicken's point	dickens point	96
mitchell farm	mitchell farm	100
coastguard beach	coast guard beach	97
high street stone wall	spring street	86
block island school	block island public school	95
martin's trail	martin trail	95
john e pond	fresh pond	64
island cemetary	island cemetery	93
near harborside inn	new harbor	72
southeast lighthouse	southeast light	86
memorial bench in old harbor	new harbor	86
playground book box	playground	90
esta's park	esta's park	100
in tree on clayhead trail	clayhead trail	90
dorry's cove, under seas grass and sticks	dorry's cove	90
behind the surf restaurant	surf beach	86
path to scotch beach	scotch beach	90
fresh pond behind a tree	fresh pond	90
peckham farm road	turnip farm	86
north light upper path	north light	90
win dodge rock wall	win dodge	90
ball o' brien park	ball o' brien park	100
dickens point	dickens point	100
jim gaffney trail	jim gaffney trail	100
hyland trail in a tree	hyland trail	90
hodge family wildlife reserve	hodge family wildlife preserve	98
the maze, in a rock wall	the maze	90
south east light	southeast light	97
north light beach	north light	90
marsh hollow	marsh hawk hollow	95
the enchanted forrest, high up in a tree	enchanted forest	86
the cannon	cannon at legion park	86
spring street gallery	spring street	90
logwood cove- in a log	logwood cove	90
gafney trail	gaffney trail	96
on the beach at the north lighthouse	north light	90
meadow greenway	greenway	90
dorrys cove	dorry's cove	96
fred benson snack bar	fred benson town beach	70
dunn bridge	dunn's bridge	95
short trail off of mohegan trail	mohegan trail	90
murphy's trail	elizabeth dickens trail	86
enchanted forest behind a rock wall	enchanted forest	90
turnip farm behind small road sign at an intersection	turnip farm	90
scotch beach- last beach access	scotch beach	90
the hyland trail	hyland trail	95
murphy trail	dickens farm trail	86
bluffs, under some rocks	mohegan bluffs	86
fresh swamp trail- in tree branches	fresh swamp	90
site of ocean view hotel under wooden boardwalk.	ocean view pavilion	86
john r. dodge cemetery	dodge cemetery	90
chamber of commerce	block island chamber of commerce	90
carey lot by the bear (??)	long lot trail	86
behind mohegan bluff monument stone	mohegan bluffs	86
dodge cemetary	dodge cemetery	93
in a tree at the ocean view foundation	cannon at legion park	86
path in front of water street inn	spring street	86
settlers rock	settler's rock	96
harrison trail in tree near west side rd	harrison trail	90
haunted forest	enchanted forest	87
crescent beach walkover	crescent beach	90
mohegan bluffs under bench	mohegan bluffs	90
meadow hill greenway	greenway	90
carey lot	long lot trail	86
hodges	hodge family wildlife preserve	75
pilot hill	pilot hill road	90
outside beachhead	dump beach	63
mohegan bluff sign	mohegan bluffs	88
atwood overlook	attwood overlook	97
enchanted forest in tree	enchanted forest	90
in grass behind the turnip farm sign	turnip farm	90
greenway path off of old mill rd	greenway	90
in tree off airport trail	airport	90
rodman's holkow	rodman's hollow	93
rodman's hollow, in a pine tree trunk	rodman's hollow	90
long lot trail, somewhere in the maze	long lot trail	90
harrison trail before middle earth in tree notch	harrison trail	90
under a bench across from town hall	fred benson town beach	86
middle earth (??)	middle earth	100
marsh hawk hollow in a tree stump	marsh hawk hollow	90
rodman's hollows in tree	rodman's hollow	90
rodman's hollow in a dead tree stump	rodman's hollow	90
the narragansett inn	the maze	86
hiking trail	dickens farm trail	86
american legion park	legion park	90
tree	spring street	90
rodmans hollow behind concrete sign	marsh hawk hollow	86
great salt pond coast	great salt pond	95
airport greenway trail	airport	90
tree stump mansion beach parking lot	mansion beach	90
hodge wildlife preserve	hodge family wildlife preserve	95
loffredo	loffredo loop	90
path to mohegan bluff overlook	attwood overlook	86
fresh pond overlook	fresh pond	90
path to coast guard beach	coast guard beach	95
old mill rd	old mill road	92
greenway off old mill road	greenway	90
greenway-fresh swamp trail	fresh swamp	90
greenway trail off old mill road in a tree	greenway	90
conneymus beach	cooneymus beach	93
greenway trail old mill	greenway	90
under a rock below middle earth sign	middle earth	90
greenway trail (off lakeside dr)	greenway	90
under cannon	cannon at legion park	86
block island cemetery	island cemetery	95
nathan mott greenway- stonewall	greenway	90
the canon at the veterans' monument	cannon at legion park	86
winn dodge preserve	hodge family wildlife preserve	86
cooneymus beach behind a huge rock	cooneymus beach	90
winfield dodge	winfield dodge farm	95
winfield dodge preserve	dodge cemetery	86
american legion	legion park	67
greenway trail off old mill	greenway	90
greenway south off old mill rd	greenway	90
foundation at winn dodge	dodge cemetery	86
under bench at end of pilot hill road	pilot hill road	90
nathan mott park in a tree!	nathan mott park	90
behind tree rodman's hollow short loop	rodman's hollow	90
greenway trail by airport	airport	90
north end block island	north light	86
beacon hill road greenway trail	beacon hill	90
beacon hill doc willis's stone wall	beacon hill	90
coast guard beach walkway	coast guard beach	95
enchanted forest bi	enchanted forest	95
hole in manisses cemetery sign	dodge cemetery	86
harrison loop in the base of a tree	harrison loop	90
rodman hollow trail map case	rodman hollow	90
charleston beach	charlestown beach	97
fresh pond trails	fresh pond	90
marsh hawk hollow trail	marsh hawk hollow	95
path off of old mill road	old mill road	90
on clay head trail in tall grass near the north end of the trail	clay head trail	90
rodman's hollow long loop	rodman's hollow	90
beacon hill greenway trail, in a stone wall	beacon hill	90
charlestown beach	charlestown beach	100
barlow's point	barlow's point	100
clayhead trl	clayhead trail	92
off of old mill rd on greenway trail	greenway	90
fresh pond in a tree	fresh pond	90
snake hole	snake hole road	90
rodman's holow	rodman's hollow	97
in town	fred benson town beach	86
post office	post office	100
nathan mott park, stone wall	nathan mott park	90
the hodge greenway trail	greenway	90
fresh pond tree	fresh pond	90
airport trail- hidden in a stump	airport	90
mott trail system	mott trail	90
cemetery	dodge cemetery	90
beacon hill road	beacon hill	95
under signage tree in the enchanted loop	enchanted forest	86
sign tree in nathan mott park	nathan mott park	90
airport (in bushes)	airport	90
loffredo loop on my birthday!!	loffredo loop	90
wedged between tree trunks at turnip farm on lofferdo loop and westside rd,	turnip farm	90
ct ave greenway trail	greenway	90
tree notch near middle earth	middle earth	90
payne farm/ fresh swamp	fresh swamp	90
black rock weather station	black rock beach	86
greenway spur near beacon hill	beacon hill	90
fresh pond tree near cemetery	fresh pond	90
greenway trail off old mill rd	greenway	90
in freshly cut grass at fresh pond	fresh pond	90
payne road greenway, buried in the grass behind a trail marker sign	payne road greenway	90
dorie's cove	dory's cove	87
path in rodman's hollow	rodman's hollow	90
middle earth(??)	middle earth	100
artin's trail	martin trail	88
vail beach	vaill beach	95
hodge nature preserve	hodge preserve	86
greenway trail off ct ave.	greenway	90
path to north light	north light	90
greenway-fresh swamp	fresh swamp	90
clay head trailside	clay head trail	88
tree on harrison trail before middle earth	harrison trail	90
cooneymus	cooneymus beach	90
fresh pound	fresh pond	95
marsh hawk hollow in stone wall	marsh hawk hollow	90
