location	latitude	longitude	numTimesListed	floatType
black rock beach	41.147349	-71.594658	1	Fancy
martin's point	41.171917	-71.609271	1	Fancy
mott trail	41.168815	-71.58663	1	Fancy
cannon at legion park	41.179665	-71.578864	1	Fancy
charlestown beach	41.195006	-71.593139	1	Fancy
peckham pond	41.155494	-71.582246	1	Regular
martin trail	41.1653	-71.600145	1	Fancy
payne road greenway	41.164137	-71.569293	1	Fancy
new shoreham	41.172051	-71.558906	1	Regular
greenway trail	41.170297	-71.589276	1	Fancy
cooneymus beach	41.163608	-71.610801	1	Fancy
turnip farm	41.16919	-71.591921	1	Fancy
harrison loop	41.178345	-71.583957	1	Fancy
beacon hill	41.173461	-71.588801	1	Fancy
