Location	NumTimesListed	floatType
rodman's hollow	34	False
greenway	20	False
fresh pond	16	False
enchanted forest	16	False
clay head trail	15	False
nathan mott park	12	False
hodge family wildlife preserve	12	False
mohegan bluffs	11	False
dodge cemetery	8	False
the maze	7	False
marsh hawk hollow	7	False
cooneymus beach	7	False
turnip farm	6	False
north light	6	False
airport	6	False
beacon hill	6	False
rodman hollow	5	False
cannon at legion park	5	False
fresh swamp	5	False
long lot trail	5	False
harrison trail	5	False
middle earth	5	False
hyland trail	4	False
hodge preserve	4	False
southeast light	4	False
fred benson town beach	4	False
spring street	4	False
elizabeth dickens trail	4	False
west beach	4	False
loffredo loop	3	False
andy's way	3	False
beach ave trail	3	False
grace's cove	3	False
attwood overlook	3	False
hodge property	3	False
legion park	3	False
great salt pond	3	False
mansion beach	3	False
charlestown beach	3	False
mott trail	3	False
black rock beach	3	False
west beach	2	True
fresh pond	2	True
mosquito beach	2	False
payne road greenway	2	False
gaffney trail	2	False
dorry's cove	2	False
scotch beach	2	False
ocean view pavilion	2	False
block island chamber of commerce	2	False
settler's rock	2	False
dinhgy beach	2	False
pilot hill road	2	False
greenway trail	2	False
coast guard beach	2	False
block island public school	2	False
win dodge	2	False
old mill road	2	False
jane lane	1	True
mansion beach	1	True
off payne's rd trail	1	True
nathan mott park	1	True
rodman's hollow	1	True
win dodge	1	True
harrison trail	1	True
enchanted forest	1	True
elizabeth dickens trail	1	True
ballard's beach	1	True
“ball o brian” beach by gsp	1	False
old mill rd trail under a bridge	1	False
ball o'brien: in the leaves on the ground on the trail to the right	1	False
dickens point	1	False
jim gaffney trail	1	False
kids beach	1	False
corn neck road	1	False
on the ground in large area of tall grass near mott park trail	1	False
logwood cove	1	False
dunn's bridge	1	False
baby beach	1	False
mohegan trail	1	False
ball o' brien park	1	False
2018 bi triathalon last beach access near a log had to dig will be re-hidden	1	False
meadow hill	1	False
fred j benson beach building behind a piling	1	False
inlet beach of salt pond	1	False
dorys cove in a lobster trap	1	False
beane point	1	False
visitor center	1	False
clayhead trail head information center	1	False
in a bush in the little park near the ferry dock	1	False
hyland park midway down the trail in a tree	1	False
crescent beach	1	False
base of stonewall by bonnell beach sign	1	False
dory's cove beach in pile of rocks	1	False
surf beach	1	False
southwest point	1	False
trail leading to bonnell beach in tree branches	1	False
the dedicated to anne dupont trail	1	False
in a tree by stop sign on old town road	1	False
walking trail near the labyrinth	1	False
sacred labyrinth	1	False
payne trail- rock wall beehive sign	1	False
under the elaine loffredo memorial preserve rock	1	False
under the beach ave bridge	1	False
path off of old town rd across from mill pond	1	False
trail off payne road	1	False
island cemetery	1	False
in tree on hiking trail	1	False
veteran's park cannon	1	False
in a stone wall near lewis farm	1	False
clayhead trail, 1.7 miles in	1	False
??	1	False
harrison loop	1	False
rat island	1	False
stonewall just beyond cemetery from west side road	1	False
?	1	False
barlow's point	1	False
charleston beach under driftwood	1	False
snake hole road	1	False
post office	1	False
'indian' cemetery	1	False
cow cove	1	False
clayhead trail on the beach	1	False
martin trail	1	False
vaill beach	1	False
blockislanf	1	False
