Location	NumTimesListed	floatType
rodman's hollow	31	False
fresh pond	21	False
the maze	18	False
clay head trail	10	False
greenway	8	False
mohegan bluffs	7	False
hodge preserve	6	False
elizabeth dickens trail	6	False
mott trail	5	False
scotch beach	5	False
old mill road	5	False
enchanted forest	5	False
black rock beach	5	False
turnip farm	4	False
andy's way	4	False
west beach	4	False
hodge family wildlife preserve	4	False
new harbor	3	False
win dodge	3	False
southeast light	3	False
payne overlook	3	False
fresh swamp	3	False
meadow hill	3	False
nathan mott park	3	False
middle pond trail	3	False
martin trail	3	False
sacred labyrinth	3	False
crescent beach	3	False
greenway	2	True
ocean view pavilion	2	False
long lot trail	2	False
beacon hill	2	False
greenaway	2	False
marsh hawk hollow	2	False
loffredo loop	2	False
hyland trail	2	False
north light	2	False
attwood overlook	2	False
mansion beach	2	False
lewis-dickens farm	2	False
harrison trail	2	False
dodge cemetery	2	False
cannon at legion park	2	False
grace's cove	2	False
great salt pond	2	False
fred benson town beach	2	False
dinhgy beach	2	False
lewis-dickens trail in tall grass	1	True
block island state beach	1	True
spring street	1	True
baby beach	1	True
loffredo loop	1	True
great salt pond	1	True
martin lots under the rock wall	1	True
hyland trail	1	True
grace cove beach- in a log	1	True
trail on beach road	1	False
magellan's tree trail	1	False
main trail between cooneymus and old mil road on ground in brush	1	False
sachem pond	1	False
baby beach	1	False
rodman hollow	1	False
rodmans hollow, on the side of the trail	1	False
entering rodham's hollow from trail by lake	1	False
in a tree on the great pond hiking trail	1	False
pilot hill rd & spring st	1	False
rodmans hollow scenic overlook, searched for 2099 days.	1	False
dory's cove under stump on the beach	1	False
payne road greenway	1	False
abrams animal farm	1	False
rat island	1	False
andys way on the beach	1	False
mohegan trail	1	False
spar point	1	False
megan's bluff, next to the 2nd tree on the right.	1	False
inside rusty can, inside hollow tree on beach	1	False
corn neck road	1	False
rodmans hollow trail	1	False
cooneymus beach	1	False
main trail, crossing conneymus	1	False
snake hole road	1	False
lewis dicken's farm trail	1	False
dickens trail entrance	1	False
hodge family preserve, re-hid at avonlea for a new found friend to find.	1	False
block island chamber of commerce	1	False
martin property	1	False
trail	1	False
beach ave trail hanging from a string on a tree by the water	1	False
old mill loop of nathanial mott park	1	False
beach ave trail	1	False
gracies cove, in the bike rack	1	False
trail on beach rd	1	False
visitor center	1	False
trim's pond	1	False
harrison loop	1	False
in the park across the across the power company	1	False
fire department	1	False
path to clayhead trail	1	False
hollowed out log on west side beach	1	False
the beach ?	1	False
beach avenue	1	False
beach in front of the national	1	False
'indian' cemetery	1	False
found on dinghy beach and rehidden.	1	False
dunn's bridge	1	False
legion park	1	False
coast guard station	1	False
path leading to public beach	1	False
block island state beach	1	False
greenway trail	1	False
beach access trail to old harbor in town	1	False
spring pond	1	False
island cemetery	1	False
ball o' brien park	1	False
clayhead trail in tree nook!	1	False
tom's point	1	False
