Location	NumTimesListed	floatType
rodman's hollow	20	False
clay head trail	18	False
fresh pond	14	False
greenway	13	False
enchanted forest	11	False
grace's cove	11	False
north light	8	False
andy's way	8	False
west beach	8	False
beacon hill	7	False
dodge cemetery	7	False
payne farm trail	5	False
harrison trail	5	False
mott trail	5	False
beach avenue	5	False
hodge family wildlife preserve	5	False
greenway trail	4	False
mohegan bluffs	4	False
the maze	4	False
turnip farm	4	False
cooneymus beach	4	False
meadow hill	4	False
hodge preserve	4	False
attwood overlook	4	False
scotch beach	4	False
airport	3	False
nathan mott park	3	False
legion park	3	False
fresh swamp	3	False
snake hole road	3	False
southeast light	3	False
'indian' cemetery	3	False
beach ave trail	3	False
mansion beach	3	False
charlestown beach	2	False
cow cove	2	False
greenaway	2	False
spring street	2	False
gaffney trail	2	False
new shoreham	2	False
dorry's cove	2	False
crescent beach	2	False
dump beach	2	False
hyland trail	2	False
baby beach	2	False
ocean view pavilion	2	False
black rock beach	2	False
marsh hawk hollow	2	False
elizabeth dickens trail	2	False
trail	2	False
greenway trail	1	True
fresh pond	1	True
grace's cove	1	True
cooneymus beach	1	True
west side of sandy point	1	True
fresh swamp	1	True
enchanted forest	1	True
greenway	1	True
ocean view pavilion	1	True
turnip farm	1	True
harrison loop	1	True
marsh hawk hollow	1	True
clayhead trail just after beach entrance	1	False
mott park, in a rock wall	1	False
west beach (behind the dump). found inside rusted circle piece up against bottom of mini bluffs.	1	False
old mill road	1	False
harrison loop	1	False
gracie's cove entrance	1	False
near beach ave. and corn neck rd.	1	False
bi conservancy trail on beach ave.	1	False
bluff trail at black rock	1	False
bluff trail at black rock, in a rock wall	1	False
loffredo loop	1	False
mill stone at center rd and old town rd	1	False
in the roof of the driftwood hut past the north point lighthouse	1	False
fred benson town beach	1	False
ball o' brien park	1	False
entrance to vail beach, in trees	1	False
sacred labyrinth	1	False
payne rd trail in rock wall	1	False
hodge family preserve- deep in the bowels of the rock wall	1	False
under drift wood left of graces cove entrance	1	False
grace's point- deep in the bowels of a gigantic piece of driftwood	1	False
dunn's bridge	1	False
smithpoint beach fire island seashore east of smithpoint beach long island ny	1	False
west side bench beach	1	False
graces cove beach	1	False
tom's point	1	False
vaill beach	1	False
sachem pond	1	False
west side of north point, behind log	1	False
trail to vail beach	1	False
beane point	1	False
park at harbor pond	1	False
coast guard station	1	False
trail that runs between cooneymus rd and black rock trail	1	False
beach b'tween bluffs & coneymus	1	False
beach end of black rock rd.	1	False
entrance to dory's cove in and old lobster pot	1	False
in tree vines on path from parking lot to clay head beach	1	False
entrance to clay head beach under charred railroad tie	1	False
dorry's cove beach	1	False
end of w beach rd in tire rim	1	False
block island state airport	1	False
loop off of beach ave	1	False
beach ave-nature trail	1	False
island cemetery	1	False
mohegan trail	1	False
block island state beach	1	False
beach between the oars and champlins (10/6/15)	1	False
payne overlook	1	False
martin property	1	False
inside a cracked log on beach between lewis dickens pt & black rock pt	1	False
clay head beach in lobster pot	1	False
rock at end of clay head beach	1	False
dinhgy beach	1	False
under the dew, betwixt the flora and fauna near the beach on clay head	1	False
clayhead beach, under the sand	1	False
bluffs trail at black rock	1	False
rodman's/black rock	1	False
veteran's park in a tree	1	False
abrams animal farm	1	False
??	1	False
