Location	NumTimesListed	floatType
rodman's hollow	15	False
enchanted forest	12	False
mohegan bluffs	11	False
north light	11	False
clay head trail	9	False
dorry's cove	8	False
greenway	7	False
grace's cove	7	False
win dodge	6	False
andy's way	6	False
cooneymus beach	5	False
mansion beach	5	False
turnip farm	4	False
block island state beach	4	False
beacon hill	4	False
vaill beach	4	False
the maze	4	False
airport	3	False
meadow hill	3	False
harrison trail	3	False
great salt pond	3	False
west beach	3	False
coast guard beach	3	False
black rock beach	3	False
snake hole road	2	False
fresh pond	2	False
old mill road	2	False
southeast light	2	False
dickens point	2	False
ocean view pavilion	2	False
ball o' brien park	2	False
hodge family preserve on the side of trail in the grass	2	False
hodge family wildlife preserve	2	False
ballard's beach	1	True
rodman's hollow	1	True
greenway	1	True
fresh swamp	1	True
payne farm trail	1	True
clay head trail	1	True
mohegan bluff beach	1	True
west beach	1	True
beacon hill	1	True
andy's way	1	True
rodmans hollow, long loop	1	False
payne road greenway	1	False
town beach entrance	1	False
gracy's cove, entrance to a walkway, on top of sign	1	False
greenway trail	1	False
mott trail	1	False
trail	1	False
martin trail	1	False
se point	1	False
clayhead trail at beach end	1	False
sand bank cove on ground surrounded by rocks by clay cave	1	False
a few hundred yards north of cooneymus rd beach access	1	False
winfield dodge farm hidden in a rock fence	1	False
beach at northern light	1	False
dorry's cove beach	1	False
crescent beach	1	False
cannon at legion park	1	False
dodge cemetery	1	False
clay head beach-lobster trap	1	False
driftwood-clay head beach	1	False
intersection of old town road and center street.	1	False
legion park	1	False
corn neck road	1	False
trail before point	1	False
hodge preserve	1	False
old harbor point	1	False
library	1	False
surf beach	1	False
charlestown beach	1	False
cow cove	1	False
baby beach	1	False
beach	1	False
spring street	1	False
block island state airport	1	False
dories cove beach	1	False
clayhead trail in a tree	1	False
in rock wall at vaills beach road	1	False
vail beach, in a old lobster trap, 10/10/13	1	False
beane point	1	False
off clayhead trail under a log	1	False
attwood overlook	1	False
stone wall on pilot hill rd.near the school	1	False
mosquito beach	1	False
middle earth	1	False
near bonnell beach	1	False
maze beach	1	False
